"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF","GE.RUNOFF..","COMBINED.GE.PARTY.TOTALS..CT..NY.","COMBINED....CT..NY.","FOOTNOTES","year"
"746",747,"Florida","FL","12","H8FL12054","","Doug","Tudor","Tudor, Doug","","D","Unopposed","","","","137,465","42.54%","","","","","","2008"
"748",749,"Florida","FL","13","H6FL13148","(I)","Vern","Buchanan","Buchanan, Vern","","R","Unopposed","","","","204,382","55.54%","","","","","","2008"
"749",750,"Florida","FL","13","H4FL13069","","Christine","Jennings","Jennings, Christine","","D","Unopposed","","","","137,967","37.49%","","","","","","2008"
"750",751,"Florida","FL","13","H2FL13139","","Jan","Schneider","Schneider, Jan","","NPA","n/a","","","","20,289","5.51%","","","","","","2008"
"751",752,"Florida","FL","13","H8FL13128","","Don","Baldauf","Baldauf, Don","","NPA","*","","","","5,358","1.46%","","","","","","2008"
"752",753,"Florida","FL","13","H2FL13139","","Jan","Schneider","Schneider, Jan","","NPA*","*","","","","","","","","","","","2008"
"754",755,"Florida","FL","14","H4FL14059","(I)","Connie","Mack","Mack, Connie","","R","Unopposed","","","","224,602","59.44%","","","","","","2008"
"755",756,"Florida","FL","14","H4FL14091","","Robert M.","Neeld","Neeld, Robert M.","","D","Unopposed","","","","93,590","24.77%","","","","","","2008"
"756",757,"Florida","FL","14","H8FL14159","","Burt","Saunders","Saunders, Burt","","NPA","n/a","","","","54,750","14.49%","","","","","","2008"
"757",758,"Florida","FL","14","H8FL14142","","Jeff","George","George, Jeff","","NPA","*","","","","4,949","1.31%","","","","","","2008"
"759",760,"Florida","FL","15","H8FL15107","","Bill","Posey","Posey, Bill","","R","40,892","76.84%","","","192,151","53.10%","","","","","","2008"
"760",761,"Florida","FL","15","H8FL15065","","Alan","Bergman","Bergman, Alan","","R","7,809","14.67%","","","","","","","","","","2008"
"761",762,"Florida","FL","15","H8FL15115","","Kevin","Lehoullier","Lehoullier, Kevin","","R","4,519","8.49%","","","","","","","","","","2008"
"763",764,"Florida","FL","15","H8FL15057","","Stephen","Blythe","Blythe, Stephen","","D","19,281","65.65%","","","151,951","41.99%","","","","","","2008"
"764",765,"Florida","FL","15","H8FL15040","","Paul","Rancatore","Rancatore, Paul","","D","10,089","34.35%","","","","","","","","","","2008"
"766",767,"Florida","FL","15","H8FL15099","","Frank","Zilaitis","Zilaitis, Frank","","NPA","*","","","","14,274","3.94%","","","","","","2008"
"767",768,"Florida","FL","15","H8FL15123","","Trevor","Lowing","Lowing, Trevor","","NPA","n/a","","","","3,495","0.97%","","","","","","2008"
"769",770,"Florida","FL","16","H8FL16022","","Tom","Rooney","Rooney, Tom","","R","20,637","36.73%","","","209,874","60.09%","","","","","","2008"
"770",771,"Florida","FL","16","H4FL16096","","Gayle","Harrell","Harrell, Gayle","","R","19,626","34.93%","","","","","","","","","","2008"
"771",772,"Florida","FL","16","H8FL16014","","Hal","Valeche","Valeche, Hal","","R","15,916","28.33%","","","","","","","","","","2008"
"773",774,"Florida","FL","16","H6FL16059","(I)","Tim","Mahoney","Mahoney, Tim","","D","Unopposed","","","","139,373","39.91%","","","","","","2008"
"775",776,"Florida","FL","17","H2FL17056","(I)","Kendrick B.","Meek","Meek, Kendrick B.","","D","Unopposed","","","","Unopposed   ","n/a","","","","","","2008"
"777",778,"Florida","FL","18","H0FL18025","(I)","Ileana","Ros-Lehtinen","Ros-Lehtinen, Ileana","","R","Unopposed","","","","140,617","57.87%","","","","","","2008"
"778",779,"Florida","FL","18","H8FL00034","","Annette","Taddeo","Taddeo, Annette","","D","Unopposed","","","","102,372","42.13%","","","","","","2008"
"780",781,"Florida","FL","19","H6FL19038","(I)","Robert","Wexler","Wexler, Robert","","D","Unopposed","","","","202,465","66.16%","","","","","","2008"
"781",782,"Florida","FL","19","H8FL19042","","Edward J.","Lynch","Lynch, Edward J.","","R","Unopposed","","","","83,357","27.24%","","","","","","2008"
"782",783,"Florida","FL","19","H6FL19046","","Ben","Graber","Graber, Ben","","NPA","","","","","20,214","6.61%","","","","","","2008"
"784",785,"Florida","FL","20","H4FL20023","(I)","Debbie Wasserman","Schultz","Schultz, Debbie Wasserman","","D","Unopposed","","","","202,832","77.48%","","","","","","2008"
"785",786,"Florida","FL","20","H4FL20031","","Margaret","Hostetter","Hostetter, Margaret","","NPA","n/a","","","","58,958","22.52%","","","","","","2008"
"786",787,"Florida","FL","20","H8FL20024","","Marc","Luzietti","Luzietti, Marc","","W","n/a","","","","9","0.00%","","","","","","2008"
"788",789,"Florida","FL","21","H2FL19037","(I)","Lincoln","Diaz-Balart","Diaz-Balart, Lincoln","","R","Unopposed","","","","137,226","57.90%","","","","","","2008"
"789",790,"Florida","FL","21","H8FL21030","","Raul L.","Martinez","Martinez, Raul L.","","D","Unopposed","","","","99,776","42.10%","","","","","","2008"
"791",792,"Florida","FL","22","H6FL22040","(I)","Ron","Klein","Klein, Ron","","D","20,507","85.06%","","","169,041","54.68%","","","","","","2008"
"792",793,"Florida","FL","22","H8FL22053","","Paul Francis","Renneisen","Renneisen, Paul Francis","","D","3,603","14.94%","","","","","","","","","","2008"
"794",795,"Florida","FL","22","H8FL22038","","Allen","West","West, Allen","","R","Unopposed","","","","140,104","45.32%","","","","","","2008"
"795",796,"Florida","FL","22","H8FL00026","","Piotr","Blass","Blass, Piotr","","W","n/a","","","","6","0.00%","","","","","","2008"
"797",798,"Florida","FL","23","H2FL23021","(I)","Alcee L.","Hastings","Hastings, Alcee L.","","D","31,182","88.04%","","","172,835","82.18%","","","","","","2008"
"798",799,"Florida","FL","23","H8FL23028","","Ray Torres","Sanchez","Sanchez, Ray Torres","","D","4,235","11.96%","","","","","","","","","","2008"
"800",801,"Florida","FL","23","H4FL23050","","Marion D., Jr.","Thorpe","Thorpe, Marion D., Jr.","","R","Unopposed","","","","37,431","17.80%","","","","","","2008"
"801",802,"Florida","FL","23","H8FL23036","","April","Cook","Cook, April","","W","n/a","","","","40","0.02%","","","","","","2008"
"803",804,"Florida","FL","24","H8FL24026","","Suzanne M.","Kosmas","Kosmas, Suzanne M.","","D","18,672","72.35%","","","211,284","57.20%","","","","","","2008"
"804",805,"Florida","FL","24","H6FL24020","","Clint","Curtis","Curtis, Clint","","D","7,137","27.65%","","","","","","","","","","2008"
"806",807,"Florida","FL","24","H2FL00250","(I)","Tom","Feeney","Feeney, Tom","","R","27,048","76.57%","","","151,863","41.11%","","","","","","2008"
"807",808,"Florida","FL","24","H8FL24042","","Jason Paul","Davis","Davis, Jason Paul","","R","8,277","23.43%","","","","","","","","","","2008"
"809",810,"Florida","FL","24","H8FL24018","","Gaurav","Bhola","Bhola, Gaurav","","NPA","n/a","","","","6,223","1.68%","","","","","","2008"
"811",812,"Florida","FL","25","H2FL25018","(I)","Mario","Diaz-Balart","Diaz-Balart, Mario","","R","Unopposed","","","","130,891","53.05%","","","","","","2008"
"812",813,"Florida","FL","25","H8FL25015","","Joe","Garcia","Garcia, Joe","","D","Unopposed","","","","115,820","46.95%","","","","","","2008"
"815",816,"Georgia","GA","01","H2GA01157","(I)","Jack","Kingston","Kingston, Jack","","R","32,470","100.00%","","","165,890","66.53%","","","","","","2008"
"817",818,"Georgia","GA","01","H8GA01022","","Bill","Gillespie","Gillespie, Bill","","D","32,802","100.00%","","","83,444","33.47%","","","","","","2008"
"820",821,"Georgia","GA","02","H2GA02031","(I)","Sanford","Bishop","Bishop, Sanford","","D","59,384","100.00%","","","158,435","68.95%","","","","","","2008"
"822",823,"Georgia","GA","02","H8GA02053","","Lee","Ferrell","Ferrell, Lee","","R","11,430","100.00%","","","71,351","31.05%","","","","","","2008"
"825",826,"Georgia","GA","03","H4GA08067","(I)","Lynn","Westmoreland","Westmoreland, Lynn","","R","55,128","100.00%","","","225,055","65.69%","","","","","","2008"
"827",828,"Georgia","GA","03","H8GA03028","","Stephen","Camp","Camp, Stephen","","D","18,984","100.00%","","","117,522","34.30%","","","","","","2008"
"829",830,"Georgia","GA","03","H8GA03036","","Loretta","VanPelt","VanPelt, Loretta","","W","","","","","3","0.00%","","","","","","2008"
"831",832,"Georgia","GA","04","H6GA04129","(I)","Henry C. ""Hank,"" Jr.","Johnson","Johnson, Henry C. ""Hank,"" Jr.","","D","47,439","100.00%","","","224,494","99.91%","","","","","","2008"
"833",834,"Georgia","GA","04","H6GA04145","","Loren Christopher","Collins","Collins, Loren Christopher","","W","","","","","159","0.07%","","","","","","2008"
"834",835,"Georgia","GA","04","H8GA04083","","Faye","Coffield","Coffield, Faye","","W","","","","","35","0.02%","","","","","","2008"
"835",836,"Georgia","GA","04","H8GA04091","","Jacob","Perasso","Perasso, Jacob","","W","n/a","","","","6","0.00%","","","","","","2008"
"837",838,"Georgia","GA","05","H6GA05217","(I)","John","Lewis","Lewis, John","","D","36,713","","","","231,368","99.95%","","","","","","2008"
"838",839,"Georgia","GA","05","H8GA05080","","Markel","Hutchins","Hutchins, Markel","","D","8,287","","","","","","","","","","","2008"
"839",840,"Georgia","GA","05","H2GA05075","","""Able"" Mable","Thomas","Thomas, ""Able"" Mable","","D","8,185","","","","","","","","","","","2008"
"841",842,"Georgia","GA","05","H8GA05106","","Shira","Kash","Kash, Shira","","W","n/a","","","","81","0.03%","","","","","","2008"
"842",843,"Georgia","GA","05","H8GA05098","","Jeanne","Fitzmaurice","Fitzmaurice, Jeanne","","W","","","","","25","0.01%","","","","","","2008"
"844",845,"Georgia","GA","06","H4GA06087","(I)","Tom","Price","Price, Tom","","R","30,957","100.00%","","","231,520","68.48%","","","","","","2008"
"846",847,"Georgia","GA","06","H8GA06161","","Bill","Jones","Jones, Bill","","D","10,920","100.00%","","","106,551","31.52%","","","","","","2008"
"849",850,"Georgia","GA","07","H0GA04023","(I)","John","Linder","Linder, John","","R","48,668","100.00%","","","209,354","62.03%","","","","","","2008"
"851",852,"Georgia","GA","07","H8GA07136","","Doug","Heckman","Heckman, Doug","","D","13,318","100.00%","","","128,159","37.97%","","","","","","2008"
"854",855,"Georgia","GA","08","H0GA08032","(I)","Jim","Marshall","Marshall, Jim","","D","44,211","85.67%","","","157,241","57.24%","","","","","","2008"
"855",856,"Georgia","GA","08","H8GA08050","","Robert","Nowack","Nowack, Robert","","D","7,396","14.33%","","","","","","","","","","2008"
"857",858,"Georgia","GA","08","H8GA08043","","Rick","Goddard","Goddard, Rick","","R","25,420","100.00%","","","117,446","42.76%","","","","","","2008"
"860",861,"Georgia","GA","09","H2GA09036","(I)","Nathan","Deal","Deal, Nathan","","R","54,653","100.00%","","","217,493","75.51%","","","","","","2008"
"862",863,"Georgia","GA","09","H8GA09041","","Jeff","Scott","Scott, Jeff","","D","12,596","100.00%","","","70,537","24.49%","","","","","","2008"
"865",866,"Georgia","GA","10","H8GA10049","(I)","Paul","Broun","Broun, Paul","","R","44,956","70.99%","","","177,265","60.73%","","","","","","2008"
"866",867,"Georgia","GA","10","H8GA10114","","Barry","Fleming","Fleming, Barry","","R","18,372","29.01%","","","","","","","","","","2008"
"868",869,"Georgia","GA","10","H8GA10106","","Bobby","Saxon","Saxon, Bobby","","D","24,001","100.00%","","","114,638","39.27%","","","","","","2008"
"871",872,"Georgia","GA","11","H2GA11149","(I)","Phil","Gingrey","Gingrey, Phil","","R","29,155","100.00%","","","204,082","68.19%","","","","","","2008"
"873",874,"Georgia","GA","11","H8GA11013","","Hugh ""Bud""","Gammon","Gammon, Hugh ""Bud""","","D","15,099","100.00%","","","95,220","31.81%","","","","","","2008"
"876",877,"Georgia","GA","12","H4GA12010","(I)","John","Barrow","Barrow, John","","D","45,235","76.42%","","","164,562","66.00%","","","","","","2008"
"877",878,"Georgia","GA","12","H8GA12037","","Regina D.","Thomas","Thomas, Regina D.","","D","13,955","23.58%","","","","","","","","","","2008"
"879",880,"Georgia","GA","12","H8GA12011","","John","Stone","Stone, John","","R","9,462","56.71%","","","84,773","34.00%","","","","","","2008"
"880",881,"Georgia","GA","12","H8GA12029","","Ray","McKinney","McKinney, Ray","","R","5,316","31.86%","","","","","","","","","","2008"
"881",882,"Georgia","GA","12","H8GA12045","","Ben","Crystal","Crystal, Ben","","R","1,908","11.43%","","","","","","","","","","2008"
"884",885,"Georgia","GA","13","H2GA13012","(I)","David","Scott","Scott, David","","D","30,719","63.67%","","","205,919","69.04%","","","","","","2008"
"885",886,"Georgia","GA","13","H2GA13020","","Donzella","James","James, Donzella","","D","17,526","36.33%","","","","","","","","","","2008"
"887",888,"Georgia","GA","13","H6GA13013","","Deborah","Honeycutt","Honeycutt, Deborah","","R","11,478","100.00%","","","92,320","30.96%","","","","","","2008"
"891",892,"Georgia","GA","S","S2GA00118","(I)","Saxby","Chambliss","Chambliss, Saxby","","R","392,902","100.00%","","","1,867,097","49.76%","1,228,033","57.44%","","","","2008"
"893",894,"Georgia","GA","S","S8GA00164","","Jim","Martin","Martin, Jim","","D","169,635","34.39%","191,061","59.88%","1,757,393","46.83%","909,923","42.56%","","","","2008"
"894",895,"Georgia","GA","S","S6GA00176","","Vernon","Jones","Jones, Vernon","","D","199,026","40.35%","127,993","40.12%","","","","","","","","2008"
"895",896,"Georgia","GA","S","S8GA00123","","Dale","Cardwell","Cardwell, Dale","","D","79,181","16.05%","","","","","","","","","","2008"
"896",897,"Georgia","GA","S","S8GA00115","","Rand","Knight","Knight, Rand","","D","25,667","5.20%","","","","","","","","","","2008"
"897",898,"Georgia","GA","S","S8GA00149","","Josh","Lanier","Lanier, Josh","","D","19,717","4.00%","","","","","","","","","","2008"
"899",900,"Georgia","GA","S","S4GA11103","","Allen","Buckley","Buckley, Allen","","LBT","n/a","n/a","","","127,923","3.41%","","","","","","2008"
"900",901,"Georgia","GA","S","S2GA00142","","Eleanor","Garcia","Garcia, Eleanor","","W","n/a","","","","43","0.00%","","","","","","2008"
"901",902,"Georgia","GA","S","S8GA00172","","William, Jr.","Salomone","Salomone, William, Jr.","","W","n/a","","","","29","0.00%","","","","","","2008"
"903",904,"Guam","GU","00","H2GU00033","(I)","Madeleine Z.","Bordallo","Bordallo, Madeleine Z.","","D","8,716","74.85%","","","28,247","96.97%","","","","","","2008"
"904",905,"Guam","GU","00","H8GU00022","","Jonathan Blas","Diaz","Diaz, Jonathan Blas","","D","2,904","24.94%","","","","","","","","","","2008"
"912",913,"Hawaii","HI","01","H6HI01121","(I)","Neil","Abercrombie","Abercrombie, Neil","","D","76,140","100.00%","","","154,208","77.14%","","","","","","2008"
"914",915,"Hawaii","HI","01","H8HI01168","","Steve","Tataii","Tataii, Steve","","R","13,088","100.00%","","","38,115","19.07%","","","","","","2008"
"916",917,"Hawaii","HI","01","H8HI01184","","Li","Zhao","Zhao, Li","","LBT","396","57.31%","","","7,594","3.80%","","","","","","2008"
"917",918,"Hawaii","HI","01","H8HI01176","","C. Kaui Jochanan","Amsterdam","Amsterdam, C. Kaui Jochanan","","LBT","295","42.69%","","","","","","","","","","2008"
"920",921,"Hawaii","HI","02","H6HI02251","(I)","Mazie","Hirono","Hirono, Mazie","","D","73,822","100.00%","","","165,748","76.06%","","","","","","2008"
"922",923,"Hawaii","HI","02","H8HI02091","","Roger B.","Evans","Evans, Roger B.","","R","12,750","100.00%","","","44,425","20.39%","","","","","","2008"
"924",925,"Hawaii","HI","02","H8HI02109","","Shaun","Stenshol","Stenshol, Shaun","","I","967","100.00%","","","4,042","1.85%","","","","","","2008"
"926",927,"Hawaii","HI","02","H8HI02042","","Lloyd J. (Jeff)","Mallan","Mallan, Lloyd J. (Jeff)","","LBT","427","100.00%","","","3,699","1.70%","","","","","","2008"
"930",931,"Idaho","ID","01","H8ID01090","","Walt","Minnick","Minnick, Walt","","D","19,449","100.00%","","","175,898","50.61%","","","","","","2008"
"931",932,"Idaho","ID","01","H6ID01185","","Larry","Grant","Grant, Larry","","D","Withdrew","","","","","","","","","","","2008"
"933",934,"Idaho","ID","01","H6ID01177","(I)","Bill","Sali","Sali, Bill","","R","41,073","60.10%","","","171,687","49.39%","","","","","","2008"
"934",935,"Idaho","ID","01","H8ID01082","","Matthew","Salisbury","Salisbury, Matthew","","R","27,267","39.90%","","","","","","","","","","2008"
"937",938,"Idaho","ID","02","H8ID02064","(I)","Mike","Simpson","Simpson, Mike","","R","49,586","85.15%","","","205,777","70.89%","","","","","","2008"
"938",939,"Idaho","ID","02","H0ID02053","","Jack Wayne","Chappell","Chappell, Jack Wayne","","R","4,900","8.41%","","","","","","","","","","2008"
"939",940,"Idaho","ID","02","H8ID02122","","Gregory","Nemitz","Nemitz, Gregory","","R","3,747","6.43%","","","","","","","","","","2008"
"941",942,"Idaho","ID","02","H8ID02106","","Deborah","Holmes","Holmes, Deborah","","D","11,578","69.53%","","","83,878","28.90%","","","","","","2008"
"942",943,"Idaho","ID","02","H8ID02114","","David  ","Sneddon","Sneddon, David  ","","D","5,074","30.47%","","","","","","","","","","2008"
"944",945,"Idaho","ID","02","","","Gregory","Nemitz","Nemitz, Gregory","","W","","","","","612","0.21%","","","","","","2008"
"947",948,"Idaho","ID","S","S8ID00092","","Jim","Risch","Risch, Jim","","R","80,743","65.34%","","","371,744","57.65%","","","","","","2008"
"948",949,"Idaho","ID","S","S8ID00126","","Scott A.","Syme","Syme, Scott A.","","R","16,660","13.48%","","","","","","","","","","2008"
"949",950,"Idaho","ID","S","S8ID00118","","Richard ","Phenneger","Phenneger, Richard ","","R","6,532","5.29%","","","","","","","","","","2008"
"950",951,"Idaho","ID","S","S8ID00142","","Neal","Thompson","Thompson, Neal","","R","5,375","4.35%","","","","","","","","","","2008"
"951",952,"Idaho","ID","S","S8ID00134","","Fred M.","Adams","Adams, Fred M.","","R","4,987","4.04%","","","","","","","","","","2008"
"952",953,"Idaho","ID","S","S8ID00175","","Bill","Hunter","Hunter, Bill","","R","4,280","3.46%","","","","","","","","","","2008"
"953",954,"Idaho","ID","S","S8ID00159","","Brian E.","Hefner","Hefner, Brian E.","","R","2,915","2.36%","","","","","","","","","","2008"
"954",955,"Idaho","ID","S","S8ID00183","","Hal James, Jr.","Styles","Styles, Hal James, Jr.","","R","2,082","1.68%","","","","","","","","","","2008"
"956",957,"Idaho","ID","S","S8ID00076","","Larry","LaRocco","LaRocco, Larry","","D","29,023","72.35%","","","219,903","34.11%","","","","","","2008"
"957",958,"Idaho","ID","S","S8ID00167","","David J.","Archuleta","Archuleta, David J.","","D","11,074","27.60%","","","","","","","","","","2008"
"958",959,"Idaho","ID","S","S8ID00217","","Kevin","Volkmann","Volkmann, Kevin","","W(D)/W","20","0.05%","","","3","0.00%","","","","","","2008"
"960",961,"Idaho","ID","S","S8ID00100","","Rex","Rammell","Rammell, Rex","","I","n/a","","","","34,510","5.35%","","","","","","2008"
"961",962,"Idaho","ID","S","S8ID00209","","Kent A.","Marmon","Marmon, Kent A.","","LBT","n/a","","","","9,958","1.54%","","","","","","2008"
"962",963,"Idaho","ID","S","S8ID00191","","","Pro-Life","Pro-Life ","","I","n/a","","","","8,662","1.34%","","","","","","2008"
"964",965,"Illinois","IL","01","H2IL01042","(I)","Bobby L.","Rush","Rush, Bobby L.","","D","134,343","87.45%","","","233,036","85.87%","","","","","","2008"
"965",966,"Illinois","IL","01","H8IL01080","","William, III","Walls","Walls, William, III","","D","19,272","12.55%","","","","","","","","","","2008"
"967",968,"Illinois","IL","01","H8IL01098","","Antoine","Members","Members, Antoine","","R","7,987","100.00%","","","38,361","14.13%","","","","","","2008"
"970",971,"Illinois","IL","02","H6IL02124","(I)","Jesse L., Jr.","Jackson","Jackson, Jesse L., Jr.","","D","149,760","100.00%","","","251,052","89.41%","","","","","","2008"
"972",973,"Illinois","IL","02","H2IL02107","","Anthony W.","Williams","Williams, Anthony W.","","R","??","??","","","29,721","10.59%","","","","","","2008"
"975",976,"Illinois","IL","03","H4IL03077","(I)","Daniel William","Lipinski","Lipinski, Daniel William","","D","62,439","53.81%","","","172,581","73.28%","","","","","","2008"
"976",977,"Illinois","IL","03","H8IL03052","","Mark N.","Pera","Pera, Mark N.","","D","29,544","25.46%","","","","","","","","","","2008"
"977",978,"Illinois","IL","03","H8IL03078","","Jim","Capparelli","Capparelli, Jim","","D","13,312","11.47%","","","","","","","","","","2008"
"978",979,"Illinois","IL","03","H8IL03060","","Jerry","Bennett","Bennett, Jerry","","D","10,742","9.26%","","","","","","","","","","2008"
"980",981,"Illinois","IL","03","H8IL03086","","Michael","Hawkins","Hawkins, Michael","","R","13,722","66.85%","","","50,336","21.37%","","","","","","2008"
"981",982,"Illinois","IL","03","H4IL03028","","Arthur J.","Jones","Jones, Arthur J.","","R","6,804","33.15%","","","","","","","","","","2008"
"983",984,"Illinois","IL","03","H8IL03094","","Jerome","Pohlen","Pohlen, Jerome","","GRE","111","100.00%","","","12,607","5.35%","","","","","","2008"
"986",987,"Illinois","IL","04","H2IL08039","(I)","Luis V.","Gutierrez","Gutierrez, Luis V.","","D","63,436","100.00%","","","112,529","80.60%","","","","","","2008"
"988",989,"Illinois","IL","04","H8IL04100","","Daniel","Cunningham","Cunningham, Daniel","","R","?","?","","","16,024","11.48%","","","","","","2008"
"989",990,"Illinois","IL","04","H8IL04118","","Omar N.","López","López, Omar N.","","GRE","n/a","n/a","","","11,053","7.92%","","","","","","2008"
"991",992,"Illinois","IL","05","H2IL05092","(I)","Rahm","Emanuel","Emanuel, Rahm","","D","94,406","100.00%","","","170,728","73.94%","","","","","","2008"
"993",994,"Illinois","IL","05","H8IL05073","","Tom","Hanson","Hanson, Tom","","R","?","?","","","50,881","22.04%","","","","","","2008"
"994",995,"Illinois","IL","05","H8IL05065","","Alan","Augustson","Augustson, Alan","","GRE","137","100.00%","","","9,283","4.02%","","","","","","2008"
"997",998,"Illinois","IL","06","H6IL06117","(I)","Peter J.","Roskam","Roskam, Peter J.","","R","57,612","100.00%","","","147,906","57.57%","","","","","","2008"
"999",1000,"Illinois","IL","06","H8IL06071","","Jill","Morgenthaler","Morgenthaler, Jill","","D","52,690","76.97%","","","109,007","42.43%","","","","","","2008"
"1000",1001,"Illinois","IL","06","H8IL06063","","Stan","Jagla","Jagla, Stan","","D","15,767","23.03%","","","","","","","","","","2008"
"1003",1004,"Illinois","IL","07","H4IL07037","(I)","Danny K.","Davis","Davis, Danny K.","","D","129,865","91.14%","","","235,343","85.02%","","","","","","2008"
"1004",1005,"Illinois","IL","07","H0IL07084","","Robert","Dallas","Dallas, Robert","","D","12,629","8.86%","","","","","","","","","","2008"
"1006",1007,"Illinois","IL","07","H8IL07087","","Steve","Miller","Miller, Steve","","R","","","","","41,474","14.98%","","","","","","2008"
"1008",1009,"Illinois","IL","08","H2IL08088","(I)","Melissa","Bean","Bean, Melissa","","D","64,255","83.21%","","","179,444","60.72%","","","","","","2008"
"1009",1010,"Illinois","IL","08","H8IL08069","","Randi","Scheurer","Scheurer, Randi","","D","12,968","16.79%","","","","","","","","","","2008"
"1011",1012,"Illinois","IL","08","H8IL08077","","Steve","Greenberg","Greenberg, Steve","","R","29,261","57.16%","","","116,081","39.28%","","","","","","2008"
"1012",1013,"Illinois","IL","08","H8IL08085","","Kirk","Morris","Morris, Kirk","","R","11,640","22.74%","","","","","","","","","","2008"
"1013",1014,"Illinois","IL","08","H6IL08113","","Kenneth W.","Arnold","Arnold, Kenneth W.","","R","10,289","20.10%","","","","","","","","","","2008"
"1016",1017,"Illinois","IL","09","H8IL09067","(I)","Janice D.","Schakowsky","Schakowsky, Janice D.","","D","98,374","87.94%","","","181,948","74.66%","","","","","","2008"
"1017",1018,"Illinois","IL","09","H8IL09141","","John","Nocita","Nocita, John","","D","13,485","12.06%","","","","","","","","","","2008"
"1019",1020,"Illinois","IL","09","H8IL09158","","Michael Benjamin","Younan","Younan, Michael Benjamin","","R","16,587","100.00%","","","53,593","21.99%","","","","","","2008"
"1021",1022,"Illinois","IL","09","H8IL09166","","Morris","Shanfield","Shanfield, Morris","","GRE","164","100.00%","","","8,140","3.34%","","","","","","2008"
"1025",1026,"Illinois","IL","10","H0IL10120","(I)","Mark Steven","Kirk","Kirk, Mark Steven","","R","44,967","100.00%","","","153,082","52.56%","","","","","","2008"
"1027",1028,"Illinois","IL","10","H6IL10119","","Daniel J.","Seals","Seals, Daniel J.","","D","75,877","81.46%","","","138,176","47.44%","","","","","","2008"
"1028",1029,"Illinois","IL","10","H8IL10099","","Jay K.","Footlik","Footlik, Jay K.","","D","17,271","18.54%","","","","","","","","","","2008"
"1031",1032,"Illinois","IL","11","H8IL11113","","Deborah ""Debbie""","Halvorson","Halvorson, Deborah ""Debbie""","","D","74,194","100.00%","","","185,652","58.40%","","","","","","2008"
"1033",1034,"Illinois","IL","11","H8IL11139","","Marty","Ozinga","Ozinga, Marty #","","R","#","","","","109,608","34.48%","","","","","  # Timothy Baldermann withdrew after the primary election and Marty Ozinga was selected by the party to fill the vacancy on the general election ballot.","2008"
"1034",1035,"Illinois","IL","11","H8IL11097","","Timothy A.","Baldermann","Baldermann, Timothy A. #","","R","32,767","61.93%","","","","","","","","","  # Timothy Baldermann withdrew after the primary election and Marty Ozinga was selected by the party to fill the vacancy on the general election ballot.","2008"
"1035",1036,"Illinois","IL","11","H8IL11121","","Terry","Heenan","Heenan, Terry","","R","10,938","20.67%","","","","","","","","","","2008"
"1036",1037,"Illinois","IL","11","H8IL11105","","Jimmy","Lee","Lee, Jimmy","","R","9,206","17.40%","","","","","","","","","","2008"
"1038",1039,"Illinois","IL","11","H8IL11071","","Jason M.","Wallace","Wallace, Jason M.","","GRE","177","100.00%","","","22,635","7.12%","","","","","","2008"
"1041",1042,"Illinois","IL","12","H8IL21021","(I)","Jerry F.","Costello","Costello, Jerry F.","","D","91,636","100.00%","","","212,891","71.40%","","","","","","2008"
"1043",1044,"Illinois","IL","12","H8IL12061","","Timmy Jay, Jr.","Richardson","Richardson, Timmy Jay, Jr.","","R","31,780","100.00%","","","74,382","24.95%","","","","","","2008"
"1045",1046,"Illinois","IL","12","H8IL12079","","Rodger W.","Jennings","Jennings, Rodger W.","","GRE","234","100.00%","","","10,907","3.66%","","","","","","2008"
"1049",1050,"Illinois","IL","13","H8IL13069","(I)","Judy","Biggert","Biggert, Judy","","R","58,533","77.28%","","","180,888","53.55%","","","","","","2008"
"1050",1051,"Illinois","IL","13","H8IL13127","","Sean","O'Kane","O'Kane, Sean","","R","17,206","22.72%","","","","","","","","","","2008"
"1052",1053,"Illinois","IL","13","H8IL13119","","Scott","Harper","Harper, Scott","","D","85,787","100.00%","","","147,430","43.65%","","","","","","2008"
"1054",1055,"Illinois","IL","13","H8IL13101","","Steve","Alesch","Alesch, Steve","","GRE","105","100.00%","","","9,402","2.78%","","","","","","2008"
"1058",1059,"Illinois","IL","14","H8IL14067","(I)","Bill","Foster","Foster, Bill","","D","32,410","42.47%","","","185,404","57.75%","","","","","  # Bill Foster was elected in a special election to fill the remainder of Dennis Hastert’s term and was sworn into office on March 11, 2008.","2008"
"1059",1060,"Illinois","IL","14","H6IL14111","","John","Laesch","Laesch, John","","D","32,012","41.94%","","","","","","","","","","2008"
"1060",1061,"Illinois","IL","14","H8IL14117","","Joe","Serra","Serra, Joe","","D","6,033","7.90%","","","","","","","","","","2008"
"1061",1062,"Illinois","IL","14","H8IL14042","","Jotham","Stein","Stein, Jotham","","D","5,865","7.68%","","","","","","","","","","2008"
"1063",1064,"Illinois","IL","14","H8IL14083","","Jim","Oberweis","Oberweis, Jim","","R","44,462","56.36%","","","135,653","42.25%","","","","","","2008"
"1064",1065,"Illinois","IL","14","H8IL14075","","Chris","Lauzen","Lauzen, Chris","","R","32,584","41.30%","","","","","","","","","","2008"
